"ID","Name","Chinese Name","Part","Lean","Approx. Price","Rec. Cooking Methods","Recommended Dishes","Texture & Notes","image reference","google_drive_image_id","googleDriveImageId","google_drive_image_url","googleDriveImageUrl"
"11","Cross Rib Chuck Roast","肩胛底板肉 / 交叉肋肉","Chuck","Yes","$7 – $9","Oven Roasting, Braising, Slow Cooker","Pot roast, sliced sandwiches","Firmer/leaner than other chuck roasts; needs liquid to stay moist.","beef_cut_r1_c2","1xkGItdRvo59GXE2eO3QPmYKo4k1__LRc","1xkGItdRvo59GXE2eO3QPmYKo4k1__LRc","https://drive.google.com/uc?export=view&id=1xkGItdRvo59GXE2eO3QPmYKo4k1__LRc","https://drive.google.com/uc?export=view&id=1xkGItdRvo59GXE2eO3QPmYKo4k1__LRc"
"12","Shoulder Roast","牛肩肉","Chuck","Yes","$6 – $9","Oven Roasting, Braising, Slow Cooker","Pot roast, stew meat","Lean and tough; becomes shreddable with long braising.","beef_cut_r2_c2","1X8VItUx-voHZnQAn2sN1a36b4CR-xRJy","1X8VItUx-voHZnQAn2sN1a36b4CR-xRJy","https://drive.google.com/uc?export=view&id=1X8VItUx-voHZnQAn2sN1a36b4CR-xRJy","https://drive.google.com/uc?export=view&id=1X8VItUx-voHZnQAn2sN1a36b4CR-xRJy"
"13","Shoulder Steak*","牛肩牛排","Chuck","Yes","$7 – $10","Grilling, Skillet, Broiling, Marinate","Fajitas, marinated salads","Fibrous and tough; essential to marinate before high heat.","beef_cut_r3_c2","17bMYUGvgYh8hZDmo70ml1S8QjcPudaAL","17bMYUGvgYh8hZDmo70ml1S8QjcPudaAL","https://drive.google.com/uc?export=view&id=17bMYUGvgYh8hZDmo70ml1S8QjcPudaAL","https://drive.google.com/uc?export=view&id=17bMYUGvgYh8hZDmo70ml1S8QjcPudaAL"
"14","Ranch Steak*","牧場牛排 / 肩心牛排","Chuck","Yes","$8 – $11","Grilling, Skillet, Broiling","Steak salad, sandwiches","Lean with mild flavor; can be chewy if cooked past medium.","beef_cut_r4_c2","1nic-uxGtd6Ws_dhUVQ94jmzK5anDmBnH","1nic-uxGtd6Ws_dhUVQ94jmzK5anDmBnH","https://drive.google.com/uc?export=view&id=1nic-uxGtd6Ws_dhUVQ94jmzK5anDmBnH","https://drive.google.com/uc?export=view&id=1nic-uxGtd6Ws_dhUVQ94jmzK5anDmBnH"
"15","Flat Iron Steak","平鐵牛排 / 翼板牛排","Chuck","No","$11 – $16","Grilling, Skillet, Broiling, Stir-fry","Tacos, fajitas, steak frites","Extremely tender (2nd to filet); well-marbled and beefy.","beef_cut_r5_c2","1wgKOz7OwJqlyeoHdNL3NkTRwCEMnLiXt","1wgKOz7OwJqlyeoHdNL3NkTRwCEMnLiXt","https://drive.google.com/uc?export=view&id=1wgKOz7OwJqlyeoHdNL3NkTRwCEMnLiXt","https://drive.google.com/uc?export=view&id=1wgKOz7OwJqlyeoHdNL3NkTRwCEMnLiXt"
"16","Top Blade Steak*","板腱牛排","Chuck","No","$8 – $12","Grilling, Skillet, Braising","Flat iron (if gristle removed)","Flavorful but has a tough line of gristle down the center.","beef_cut_r6_c2","1p-lyph_xv2szY43ImF5L1FgEnFtDYukl","1p-lyph_xv2szY43ImF5L1FgEnFtDYukl","https://drive.google.com/uc?export=view&id=1p-lyph_xv2szY43ImF5L1FgEnFtDYukl","https://drive.google.com/uc?export=view&id=1p-lyph_xv2szY43ImF5L1FgEnFtDYukl"
"17","Shoulder Petite Tender","嫩肩里肌 / 黃瓜條","Chuck","Yes","$10 – $14","Oven Roasting, Grilling, Broiling","Medallions, Wellington alt.","""Teres Major""; resembles tenderloin in texture but has more flavor.","beef_cut_r7_c2","1VY_bE_BzbN4i88miaAxGvW342gCrSCee","1VY_bE_BzbN4i88miaAxGvW342gCrSCee","https://drive.google.com/uc?export=view&id=1VY_bE_BzbN4i88miaAxGvW342gCrSCee","https://drive.google.com/uc?export=view&id=1VY_bE_BzbN4i88miaAxGvW342gCrSCee"
"18","Shoulder Petite Tender Medallions","嫩肩里肌片 / 嫩肩菲力","Chuck","Yes","$11 – $15","Grilling, Skillet, Broiling","Steak au poivre, appetizers","Tender rounds perfect for quick searing; lean and elegant.","beef_cut_r8_c2","1453DqRNFhI0LasnyEle6AH_Pg7c4W61S","1453DqRNFhI0LasnyEle6AH_Pg7c4W61S","https://drive.google.com/uc?export=view&id=1453DqRNFhI0LasnyEle6AH_Pg7c4W61S","https://drive.google.com/uc?export=view&id=1453DqRNFhI0LasnyEle6AH_Pg7c4W61S"
"19","Short Ribs, Bone-In","帶骨牛小排","Chuck/Rib","No","$10 – $15","Braising, Stewing, Smoking","Galbi (Korean), braised ribs","Very rich, high fat; melts into a buttery texture when braised.","beef_cut_r10_c7","1dTpyB1-QbC7C5JZD882BeyUCvrz630m8","1dTpyB1-QbC7C5JZD882BeyUCvrz630m8","https://drive.google.com/uc?export=view&id=1dTpyB1-QbC7C5JZD882BeyUCvrz630m8","https://drive.google.com/uc?export=view&id=1dTpyB1-QbC7C5JZD882BeyUCvrz630m8"
"20","Prime Rib Roast","頂級肋眼視肉 / 燒烤肋眼","Rib","No","$18 – $28","Oven Roasting, Smoking","Holiday standing rib roast","The gold standard; exceptionally tender, juicy, and marbled.","beef_cut_r1_c3","1BTuxIY62zIooftEvAvNSnIHhrapvwH0B","1BTuxIY62zIooftEvAvNSnIHhrapvwH0B","https://drive.google.com/uc?export=view&id=1BTuxIY62zIooftEvAvNSnIHhrapvwH0B","https://drive.google.com/uc?export=view&id=1BTuxIY62zIooftEvAvNSnIHhrapvwH0B"
"21","Ribeye Steak, Bone-In","帶骨肋眼牛排","Rib","No","$16 – $26","Grilling, Skillet, Reverse Sear","Cowboy steak, tomahawk","Rich, buttery fat rendering; bone adds flavor/insulation.","beef_cut_r2_c3","1hmF20OTU_UKUHEsHyODY0ZI77iL0Fqr9","1hmF20OTU_UKUHEsHyODY0ZI77iL0Fqr9","https://drive.google.com/uc?export=view&id=1hmF20OTU_UKUHEsHyODY0ZI77iL0Fqr9","https://drive.google.com/uc?export=view&id=1hmF20OTU_UKUHEsHyODY0ZI77iL0Fqr9"
"22","Back Ribs","牛背肋排","Rib","No","$6 – $9","Grilling, Oven Roasting, Smoking","BBQ beef ribs","Meat between rib bones; chewy but flavorful finger food.","beef_cut_r3_c3","1s9mL567uLajruyJ2oF6qND53TWH2CiRs","1s9mL567uLajruyJ2oF6qND53TWH2CiRs","https://drive.google.com/uc?export=view&id=1s9mL567uLajruyJ2oF6qND53TWH2CiRs","https://drive.google.com/uc?export=view&id=1s9mL567uLajruyJ2oF6qND53TWH2CiRs"
"23","Ribeye Roast, Boneless","去骨肋眼肉","Rib","No","$19 – $29","Oven Roasting, Rotisserie","Delmonico roast, sliced beef","Same as Prime Rib w/o bones; easier to carve, very tender.","beef_cut_r4_c3","1D-jbMYBuozTUdNEqxLSibi7LyWZ8qz60","1D-jbMYBuozTUdNEqxLSibi7LyWZ8qz60","https://drive.google.com/uc?export=view&id=1D-jbMYBuozTUdNEqxLSibi7LyWZ8qz60","https://drive.google.com/uc?export=view&id=1D-jbMYBuozTUdNEqxLSibi7LyWZ8qz60"
"24","Ribeye Steak, Boneless","去骨肋眼牛排","Rib","No","$18 – $30","Grilling, Skillet, Sous Vide","Steak dinner, sandwiches","Highly marbled with distinct fat ""kernel""; robust beef flavor.","beef_cut_r5_c3","1fLAQHLycDgEt8esIAs30CmWZmHe9vfVk","1fLAQHLycDgEt8esIAs30CmWZmHe9vfVk","https://drive.google.com/uc?export=view&id=1fLAQHLycDgEt8esIAs30CmWZmHe9vfVk","https://drive.google.com/uc?export=view&id=1fLAQHLycDgEt8esIAs30CmWZmHe9vfVk"
"25","Ribeye Cap Steak","老饕牛排 / 肋眼眉","Rib","No","$25 – $40","Grilling, Skillet, Broiling","Spinalis dorsi steak","""The Butcher's Butter""; arguably the most delicious cut on the cow.","beef_cut_r6_c3","1Nl70CwoKDL0LAFq4y3pPfPWmM8cACZi5","1Nl70CwoKDL0LAFq4y3pPfPWmM8cACZi5","https://drive.google.com/uc?export=view&id=1Nl70CwoKDL0LAFq4y3pPfPWmM8cACZi5","https://drive.google.com/uc?export=view&id=1Nl70CwoKDL0LAFq4y3pPfPWmM8cACZi5"
"26","Ribeye Petite Roast","小肋眼肉","Rib","No","$16 – $24","Oven Roasting","Small dinner roast","A smaller portion of the ribeye; quick cooking and tender.","beef_cut_r7_c3","1iUAbgBHKOxwikXlp3nzAfKHiJiGg1BHr","1iUAbgBHKOxwikXlp3nzAfKHiJiGg1BHr","https://drive.google.com/uc?export=view&id=1iUAbgBHKOxwikXlp3nzAfKHiJiGg1BHr","https://drive.google.com/uc?export=view&id=1iUAbgBHKOxwikXlp3nzAfKHiJiGg1BHr"
"27","Ribeye Filet","肋眼菲力","Rib","No","$20 – $32","Grilling, Skillet, Broiling","Steak medallions","Center eye of ribeye; combines filet tenderness with ribeye flavor.","beef_cut_r8_c3","1i8-TmI8lHuqgRVT-mfIK9cK_6Panoan2","1i8-TmI8lHuqgRVT-mfIK9cK_6Panoan2","https://drive.google.com/uc?export=view&id=1i8-TmI8lHuqgRVT-mfIK9cK_6Panoan2","https://drive.google.com/uc?export=view&id=1i8-TmI8lHuqgRVT-mfIK9cK_6Panoan2"
"28","Porterhouse Steak","紅屋牛排","Loin","No","$18 – $30","Grilling, Skillet, Broiling","The ""King of Steaks""","Two steaks in one (Strip + large Tenderloin).","beef_cut_r1_c4","1Nd0ALpDCMbBUK57BHg5srwXhMFd37wA4","1Nd0ALpDCMbBUK57BHg5srwXhMFd37wA4","https://drive.google.com/uc?export=view&id=1Nd0ALpDCMbBUK57BHg5srwXhMFd37wA4","https://drive.google.com/uc?export=view&id=1Nd0ALpDCMbBUK57BHg5srwXhMFd37wA4"
"29","T-Bone Steak","丁骨牛排","Loin","No","$16 – $26","Grilling, Skillet, Broiling","Classic steakhouse dinner","Similar to Porterhouse but with smaller tenderloin section.","beef_cut_r2_c4","105nGSDJZe3ydpbN77EoQG3EzYaoaVKX6","105nGSDJZe3ydpbN77EoQG3EzYaoaVKX6","https://drive.google.com/uc?export=view&id=105nGSDJZe3ydpbN77EoQG3EzYaoaVKX6","https://drive.google.com/uc?export=view&id=105nGSDJZe3ydpbN77EoQG3EzYaoaVKX6"
"30","Strip Steak, Bone-In","帶骨紐約客牛排","Loin","Yes","$14 – $22","Grilling, Skillet, Broiling","Kansas City strip, club steak","Firm bite, moderate marbling, deep beefy flavor.","beef_cut_r3_c4","1nBORw9ORAvcyyAK8tE28cvmu-GGuR8Wp","1nBORw9ORAvcyyAK8tE28cvmu-GGuR8Wp","https://drive.google.com/uc?export=view&id=1nBORw9ORAvcyyAK8tE28cvmu-GGuR8Wp","https://drive.google.com/uc?export=view&id=1nBORw9ORAvcyyAK8tE28cvmu-GGuR8Wp"
"31","Strip Steak, Boneless","無骨紐約客牛排","Loin","Yes","$15 – $25","Grilling, Skillet, Sous Vide","New York strip, steak frites","Tighter texture than ribeye but flavorful; lean but tender.","beef_cut_r4_c4","1CKDb2CAhW9ltdbRH-jmgGbJTBoodndSL","1CKDb2CAhW9ltdbRH-jmgGbJTBoodndSL","https://drive.google.com/uc?export=view&id=1CKDb2CAhW9ltdbRH-jmgGbJTBoodndSL","https://drive.google.com/uc?export=view&id=1CKDb2CAhW9ltdbRH-jmgGbJTBoodndSL"
"32","Strip Petite Roast","紐約客小烤肉","Loin","Yes","$14 – $22","Oven Roasting","Roast beef for two","A small roast cut from the strip loin; easy to carve.","beef_cut_r5_c4","1wpJ-1gG5m1f6QSNDoi52w23O4AYKJ3zx","1wpJ-1gG5m1f6QSNDoi52w23O4AYKJ3zx","https://drive.google.com/uc?export=view&id=1wpJ-1gG5m1f6QSNDoi52w23O4AYKJ3zx","https://drive.google.com/uc?export=view&id=1wpJ-1gG5m1f6QSNDoi52w23O4AYKJ3zx"
"33","Strip Filet","紐約客菲力","Loin","Yes","$16 – $26","Grilling, Skillet, Broiling","Thick-cut steak","Thick cut from center of strip; uniform shape cooks evenly.","beef_cut_r6_c4","1boNaGmDixQ4QF6SzkWCK-HUhLXCs5igG","1boNaGmDixQ4QF6SzkWCK-HUhLXCs5igG","https://drive.google.com/uc?export=view&id=1boNaGmDixQ4QF6SzkWCK-HUhLXCs5igG","https://drive.google.com/uc?export=view&id=1boNaGmDixQ4QF6SzkWCK-HUhLXCs5igG"
"34","Tenderloin Roast","菲力肉塊 / 腰內肉","Loin","Yes","$25 – $45","Oven Roasting, Beef Wellington","Chateaubriand, holiday roast","Most tender roast available; lean, mild flavor, buttery texture.","beef_cut_r7_c4","1DRiT4SgJLXINCv6Klldgq80zPGcZV0sY","1DRiT4SgJLXINCv6Klldgq80zPGcZV0sY","https://drive.google.com/uc?export=view&id=1DRiT4SgJLXINCv6Klldgq80zPGcZV0sY","https://drive.google.com/uc?export=view&id=1DRiT4SgJLXINCv6Klldgq80zPGcZV0sY"
"35","Tenderloin Steak","菲力牛排","Loin","Yes","$30 – $50","Grilling, Skillet, Pan-Sear","Filet Mignon, tartare","Fork-tender, melt-in-your-mouth; very lean and mild.","beef_cut_r8_c4","1W_2mfPFzkDoeH7nWYytddeo3ggEOh8z6","1W_2mfPFzkDoeH7nWYytddeo3ggEOh8z6","https://drive.google.com/uc?export=view&id=1W_2mfPFzkDoeH7nWYytddeo3ggEOh8z6","https://drive.google.com/uc?export=view&id=1W_2mfPFzkDoeH7nWYytddeo3ggEOh8z6"
"36","Top Sirloin Steak","上後腰脊牛排 / 頂級沙朗","Sirloin","Yes","$9 – $14","Grilling, Skillet, Stir-Fry","Weeknight steak, kabobs","Versatile/affordable; firm texture with good beef flavor.","beef_cut_r1_c5","1tFjNhyun05iXJqCsTCasQ4V6NBAeigfP","1tFjNhyun05iXJqCsTCasQ4V6NBAeigfP","https://drive.google.com/uc?export=view&id=1tFjNhyun05iXJqCsTCasQ4V6NBAeigfP","https://drive.google.com/uc?export=view&id=1tFjNhyun05iXJqCsTCasQ4V6NBAeigfP"
"37","Top Sirloin Petite Roast","上後腰脊小烤肉","Sirloin","Yes","$8 – $12","Oven Roasting","Roast beef sandwiches","Lean and economical; cook medium-rare to avoid dryness.","beef_cut_r2_c5","1oLu46gwg2FH11J3hojl97nNRFnj0MWST","1oLu46gwg2FH11J3hojl97nNRFnj0MWST","https://drive.google.com/uc?export=view&id=1oLu46gwg2FH11J3hojl97nNRFnj0MWST","https://drive.google.com/uc?export=view&id=1oLu46gwg2FH11J3hojl97nNRFnj0MWST"
"38","Top Sirloin Filet","上後腰脊菲力","Sirloin","Yes","$11 – $16","Grilling, Skillet, Broiling","Baseball steak","Thick cut like filet mignon but firmer and more flavorful.","beef_cut_r3_c5","1zlOSMvJ2RIRX8LlLL_Oqrc-1pbHDR9Pv","1zlOSMvJ2RIRX8LlLL_Oqrc-1pbHDR9Pv","https://drive.google.com/uc?export=view&id=1zlOSMvJ2RIRX8LlLL_Oqrc-1pbHDR9Pv","https://drive.google.com/uc?export=view&id=1zlOSMvJ2RIRX8LlLL_Oqrc-1pbHDR9Pv"
"39","Coulotte Roast","上後腰脊蓋肉 / 臀肉蓋","Sirloin","Yes","$10 – $15","Oven Roasting, Smoking","Picanha roast (Brazilian)","Signature fat cap bastes meat; extremely flavorful and juicy.","beef_cut_r4_c5","11wbut7BYKOE1KWAv6NzaJg5s_wi4C2ES","11wbut7BYKOE1KWAv6NzaJg5s_wi4C2ES","https://drive.google.com/uc?export=view&id=11wbut7BYKOE1KWAv6NzaJg5s_wi4C2ES","https://drive.google.com/uc?export=view&id=11wbut7BYKOE1KWAv6NzaJg5s_wi4C2ES"
"40","Coulotte Steak","上後腰脊蓋牛排","Sirloin","Yes","$12 – $18","Grilling, Skillet, Smoking","Picanha steaks","Cut from the cap; tender and rich if fat cap is rendered.","beef_cut_r5_c5","1bV4o3esdP6zTfz56OojBod9b38iU3x3d","1bV4o3esdP6zTfz56OojBod9b38iU3x3d","https://drive.google.com/uc?export=view&id=1bV4o3esdP6zTfz56OojBod9b38iU3x3d","https://drive.google.com/uc?export=view&id=1bV4o3esdP6zTfz56OojBod9b38iU3x3d"
"41","Tri-Tip Roast","三角肉","Sirloin","Yes","$10 – $16","Oven Roasting, Grilling, Smoking","Santa Maria BBQ","Triangle shape; lean but flavorful; grain changes direction.","beef_cut_r6_c5","1bcP_x1N945ygq-LxUqijK2fkNoW3ctCN","1bcP_x1N945ygq-LxUqijK2fkNoW3ctCN","https://drive.google.com/uc?export=view&id=1bcP_x1N945ygq-LxUqijK2fkNoW3ctCN","https://drive.google.com/uc?export=view&id=1bcP_x1N945ygq-LxUqijK2fkNoW3ctCN"
"42","Tri-Tip Steak","三角牛排","Sirloin","Yes","$11 – $17","Grilling, Skillet, Broiling","Bistro steak","Individual steaks from roast; distinctive grain and chew.","beef_cut_r7_c5","1KwdJNwtludoub0qHfkJTP2lvWVPaAxVn","1KwdJNwtludoub0qHfkJTP2lvWVPaAxVn","https://drive.google.com/uc?export=view&id=1KwdJNwtludoub0qHfkJTP2lvWVPaAxVn","https://drive.google.com/uc?export=view&id=1KwdJNwtludoub0qHfkJTP2lvWVPaAxVn"
"43","Petite Sirloin Steak","小沙朗牛排","Sirloin","Yes","$8 – $12","Grilling, Skillet, Broiling","Steak tips, breakfast steak","Small, lean, quick-cooking; tough if overcooked.","beef_cut_r8_c5","1a6beKeXPxeSvFPHV4kSis2K2uS5zNOhQ","1a6beKeXPxeSvFPHV4kSis2K2uS5zNOhQ","https://drive.google.com/uc?export=view&id=1a6beKeXPxeSvFPHV4kSis2K2uS5zNOhQ","https://drive.google.com/uc?export=view&id=1a6beKeXPxeSvFPHV4kSis2K2uS5zNOhQ"
"44","Sirloin Bavette Steak","後腰脊角尖牛排 / 貝腹肉","Sirloin","Yes","$12 – $18","Grilling, Skillet, Stir-Fry","Flap steak, fajitas","Loose grain structure holds marinades; chewy but savory.","beef_cut_r9_c5","18PKppNK63nYPf6WS1oQrnbZ6oQU0EWiu","18PKppNK63nYPf6WS1oQrnbZ6oQU0EWiu","https://drive.google.com/uc?export=view&id=18PKppNK63nYPf6WS1oQrnbZ6oQU0EWiu","https://drive.google.com/uc?export=view&id=18PKppNK63nYPf6WS1oQrnbZ6oQU0EWiu"
"45","Top Round Steak*","上後腿牛排","Round","Yes","$6 – $9","Broiling, Skillet, Stir-Fry","London Broil, jerky","Lean and tough; best marinated or tenderized (cubed).","beef_cut_r2_c6","1J5BaMkVbVPxcZkFo9J1ji44p0WrTdB7q","1J5BaMkVbVPxcZkFo9J1ji44p0WrTdB7q","https://drive.google.com/uc?export=view&id=1J5BaMkVbVPxcZkFo9J1ji44p0WrTdB7q","https://drive.google.com/uc?export=view&id=1J5BaMkVbVPxcZkFo9J1ji44p0WrTdB7q"
"46","Top Round Roast","上後腿肉","Round","Yes","$6 – $9","Oven Roasting, Slow Roasting","Deli roast beef","The ""Sunday Roast""; lean, easy to slice; can be dry.","beef_cut_r1_c6","1EJmK_f2TPKhydNPHahH6BeX7MDABa-IL","1EJmK_f2TPKhydNPHahH6BeX7MDABa-IL","https://drive.google.com/uc?export=view&id=1EJmK_f2TPKhydNPHahH6BeX7MDABa-IL","https://drive.google.com/uc?export=view&id=1EJmK_f2TPKhydNPHahH6BeX7MDABa-IL"
"47","Bottom Round Roast","下後腿肉","Round","Yes","$6 – $8","Oven Roasting, Braising, Stewing","Pot roast, Italian beef","Tougher than top round; tighter grain; needs moisture.","beef_cut_r3_c6","11Xzm3Of0JDJNmg5iv-83RQUoXNkkia2v","11Xzm3Of0JDJNmg5iv-83RQUoXNkkia2v","https://drive.google.com/uc?export=view&id=11Xzm3Of0JDJNmg5iv-83RQUoXNkkia2v","https://drive.google.com/uc?export=view&id=11Xzm3Of0JDJNmg5iv-83RQUoXNkkia2v"
"48","Bottom Round Steak*","下後腿牛排","Round","Yes","$6 – $8","Braising, Stewing, Swissing","Swiss/Chicken fried steak","Very lean/firm; requires mechanical tenderizing or slow heat.","beef_cut_r4_c6","1SE3-Uvzm1FA5dZlm2Nv0eUooIEh-N0AO","1SE3-Uvzm1FA5dZlm2Nv0eUooIEh-N0AO","https://drive.google.com/uc?export=view&id=1SE3-Uvzm1FA5dZlm2Nv0eUooIEh-N0AO","https://drive.google.com/uc?export=view&id=1SE3-Uvzm1FA5dZlm2Nv0eUooIEh-N0AO"
"49","Bottom Round Rump Roast","臀肉 / 腿庫肉","Round","Yes","$5 – $8","Oven Roasting, Braising","Pot roast","Ideally braised; flavorful but tough connective tissue.","beef_cut_r5_c6","1OT_PTN2ThO7hbOxPH8hBEOjcHRPgxc58","1OT_PTN2ThO7hbOxPH8hBEOjcHRPgxc58","https://drive.google.com/uc?export=view&id=1OT_PTN2ThO7hbOxPH8hBEOjcHRPgxc58","https://drive.google.com/uc?export=view&id=1OT_PTN2ThO7hbOxPH8hBEOjcHRPgxc58"
"50","Eye of Round Roast","鯉魚管肉 / 後腿眼肉","Round","Yes","$6 – $9","Oven Roasting, Slow Roasting","Roast beef sandwiches","Cylindrical; very lean/tough; looks tender but is not.","beef_cut_r6_c6","18NCNqwf5MHKONew2VcuyA3D3ML6-ZI0s","18NCNqwf5MHKONew2VcuyA3D3ML6-ZI0s","https://drive.google.com/uc?export=view&id=18NCNqwf5MHKONew2VcuyA3D3ML6-ZI0s","https://drive.google.com/uc?export=view&id=18NCNqwf5MHKONew2VcuyA3D3ML6-ZI0s"
"51","Eye of Round Steak*","鯉魚管牛排 / 後腿眼牛排","Round","Yes","$6 – $9","Skillet, Grilling, Braising","Minute steaks","Sold thin; very lean; easy to overcook into ""shoe leather.""","beef_cut_r7_c6","1VQfbK2LldSj_Y7dtQ7yz1nVARlvTLgH7","1VQfbK2LldSj_Y7dtQ7yz1nVARlvTLgH7","https://drive.google.com/uc?export=view&id=1VQfbK2LldSj_Y7dtQ7yz1nVARlvTLgH7","https://drive.google.com/uc?export=view&id=1VQfbK2LldSj_Y7dtQ7yz1nVARlvTLgH7"
